"id","date","user","pc","filename","activity","to_removable_media","from_removable_media","content"
"{Y0I2-E8BB68EY-3844HREL}","01/02/2010 08:06:45","ORL3995","PC-6988","R:\ORL3995\E1MUJ88Z.doc","File Copy","False","True","D0-CF-11-E0-A1-B1-1A-E1 On 31 December 2007, the zoo's director confirmed the zoo had received a proposal for a film deal from Hollywood film producer Ash R. Shah, whose films include Supernova and Shark Bait, to make an animated film about the bear's life. The gummy bears sold so well that the Bonn-based company had to expand production to a second factory to deal with demand. Knut's role at the Berlin Zoo was to have included his becoming an ""attractive stud"" for other zoos in order to help preserve his species. The celebration of the cub's first birthday, which was attended by hundreds of children, was broadcast live on German television."
"{V2K3-U8WJ64YZ-9126OLSI}","01/02/2010 08:07:11","DTR1323","PC-4277","R:\HY77Z7XG.doc","File Open","False","True","D0-CF-11-E0-A1-B1-1A-E1 This attack backfired when US President Richard Nixon announced that he would visit China the following year. Whitlam ordered negotiations to establish full relations with the People's Republic of China, and broke those with Taiwan. Maintain your rage and enthusiasm for the campaign for the election now to be held and until polling day. In the postwar years, he practised law, concentrating on landlord/tenant matters, and sought to build his bona fides in the party."
"{N8M5-E6PH50ZH-4203RZNE}","01/02/2010 08:07:25","DTR1323","PC-4277","R:\95Lf5X2\WLHCXZZG.zip","File Copy","False","True","50-4B-03-04-14 Charles was already a disillusioned, angry alcoholic when they began living together, and he became violent towards, and insanely possessive of, Clementina, treating her as a ""submissive whipping post"". After the defeat of the Prince's rebellion at Culloden in April 1746, Charles fled Scotland for France. However, it was two years before Henry Stuart, her executor, and now considered by Jacobites to be King Henry IX, would release the money."
"{Q4J0-V7TC66FH-5649IUSM}","01/02/2010 08:07:27","STH2849","PC-2145","R:\1O9KRYTW.doc","File Copy","False","True","D0-CF-11-E0-A1-B1-1A-E1 The loop starts in Butte Falls, and has several stops for hiking and viewing the landscape, including Mount McLoughlin. The higher regions have very low populations of anadramous fish due to the falls and the cold, sterile conditions of the water. Willow Lake contains Largemouth Bass, Rainbow and Cutthroat trout, and Brook Trout."
"{Q1R4-T2TH87SP-2238SSIB}","01/02/2010 08:09:06","ORL3995","PC-6988","R:\8PI7QOM8.doc","File Write","True","False","D0-CF-11-E0-A1-B1-1A-E1 Harvey needed a way to get people to Monte Ne. The bank lasted until 1914. Harvey issued his own money, or scrip, which was accepted and used as cash in and around Monte Ne."
"{N6Y7-E2HT78JE-2882WRII}","01/02/2010 08:09:52","HCB3101","PC-4319","R:\61DwK61\05CIY5OR.doc","File Open","False","True","D0-CF-11-E0-A1-B1-1A-E1 The rainfall caused some damage to banana crops, uprooted several trees, and left some roads impassable, but was largely beneficial in alleviating drought conditions. The winds blew off the roofs of several police stations and military camps, and flooded several refugee camps. Prior to the arrival of the storm in India, government officials there issued a severe storm warning for Thoothukudi District, and also warned fishermen not to go out to sea. After turning west-northwestward, the storm struck southern India near Kanyakumari on December 28 with winds of 45 mph (70 km/h), with minimal convection due to land interaction and increased wind shear. Government officials in Sri Lanka issued a last-minute evacuation order for potentially affected areas, though few received the evacuation order."
"{S8A0-Q4GZ49RC-1877SEQE}","01/02/2010 08:11:24","SCF2666","PC-3577","C:\76H82D6\A4XQMIW3.doc","File Open","False","False","D0-CF-11-E0-A1-B1-1A-E1 Of the 16,078 households, 37% were one-person households, 14% were married couples with dependent children, and 9% were lone parents with dependent children. Stretford residents had an average age of 36.7 years, younger than the 38.9 Trafford average."
"{B3Q8-G5XA53HD-1104KVTX}","01/02/2010 08:12:29","DIE1614","PC-1213","R:\29X36B6\4YKMA9RI.doc","File Delete","False","True","D0-CF-11-E0-A1-B1-1A-E1 The M249 is a belt-fed light machine gun. At the National Defense Industrial Association in 2007, LTC Al Kelly of the 1st Battalion, 17th Infantry gave a presentation describing the M249 as having ""good range, excellent reliability"" and an ""excellent tracer"". The lethality of the 5.56 mm ammunition has been called into question by reports of enemy soldiers still firing after being hit multiple times. In particular, warping of the receiver rails is a nearly ubiquitous defect in heavily used first-generation M249s. The U.S. Army does, however, want to replace aging M249s with newer weapons."
"{B6Q0-V4SX58OQ-0732BCIM}","01/02/2010 08:17:41","ECH3561","PC-3694","R:\ISFHX3D7.doc","File Open","False","True","D0-CF-11-E0-A1-B1-1A-E1 In 1934, a statue of Sir Robert Peel erected in Cheapside in 1855 was declared an obstruction to traffic and removed. It is not too much to say that the history of Her Majesty's reign would gain a lustre were the nation to erect a monument, say, here in London, to record the names of these likely to be forgotten heroes. PC Smith and the manager of the factory shepherded them back to safety in the building, but Smith was caught by the blast of one of the bombs and died. In 1905 the Heroic Self Sacrifice Memorial Committee had suggested to Mary Watts that public funds be raised to complete the memorial, but she objected and promised to complete the 120 tablets at her own cost or provide funds in her will to do so. Henry Gamble and Mary Watts also commissioned a memorial plaque from T. H. Wren, a student of the school of arts and crafts established by Watts in Compton."
"{A5F3-U6AN16JI-5273UCKX}","01/02/2010 08:19:40","DTR1323","PC-4277","R:\95Lf5X2\MGRFWAUC.doc","File Open","False","True","D0-CF-11-E0-A1-B1-1A-E1 Walesa's inauguration as president in December, 1990 is thought by many to be the formal end of the Communist People's Republic of Poland and the beginning of the modern Republic of Poland. Jaruzelski won by just one vote in the National Assembly presidential election of 19 July 1989 even though his name was the only one on the Communist ballot. The reforms, while reasonably controversial, were greeted with relief by a significant faction of the population."
"{I7T8-H5NO34UM-4943WZXJ}","01/02/2010 08:20:02","BLF0313","PC-7752","C:\BLF0313\112KFFA8.doc","File Open","False","False","D0-CF-11-E0-A1-B1-1A-E1 The addition of bupropion to an SSRI (primarily fluoxetine or sertraline) resulted in a significant improvement in 70-80% of patients who had an incomplete response to the first-line antidepressant. According to several case reports, stopping bupropion abruptly may result in discontinuation syndrome expressed as dystonia, irritability, anxiety, mania, headache, aches and pains. In 2003, the FDA approved another sustained-release formulation called Wellbutrin XL, intended for once-daily dosing."
"{B7P7-Y4DV23CN-8816ROGB}","01/02/2010 08:20:17","UWC1584","PC-3101","R:\591DGx8\3QC8Z1G8.zip","File Copy","False","True","50-4B-03-04-14 The use of acetic acid in alchemy extends into the 3rd century BC, when the Greek philosopher Theophrastus described how vinegar acted on metals to produce pigments useful in art, including white lead (lead carbonate) and verdigris, a green mixture of copper salts including copper(II) acetate. Reduction of acetic acid gives ethanol. Other substitution derivatives include acetic anhydride; this anhydride is produced by loss of water from two molecules of acetic acid."
"{I6Q0-A3VG01XM-5942BNYD}","01/02/2010 08:20:34","DTR1323","PC-4277","R:\DTR1323\WWANCV8T.doc","File Copy","False","True","D0-CF-11-E0-A1-B1-1A-E1 In 1955, a redistribution divided Whitlam's electorate of Werriwa in two, with his Cronulla home located in the new electorate of Hughes. The Age printed a cartoon by Peter Nicholson showing the Whitlams huddled together in bed with Margaret Whitlam saying, ""Did the earth move for you too, dear?"" More books have been written about Whitlam, including his own writings, than about any other Australian prime minister. Later that year, at Whitlam's urging, and over Calwell's objection, the biennial Party Conference made major changes to the party's platform: deleting support for the White Australia policy and making the ALP's leader and deputy leader ex officio members of the conference and Executive, along with the party's leader and deputy leader in the Senate."
"{L9X6-O5TK51YF-3688EZMK}","01/02/2010 08:24:15","DTR1323","PC-4277","R:\95Lf5X2\WLHCXZZG.zip","File Delete","False","True","50-4B-03-04-14 Charles was already a disillusioned, angry alcoholic when they began living together, and he became violent towards, and insanely possessive of, Clementina, treating her as a ""submissive whipping post"". After the defeat of the Prince's rebellion at Culloden in April 1746, Charles fled Scotland for France. However, it was two years before Henry Stuart, her executor, and now considered by Jacobites to be King Henry IX, would release the money."
"{R9U3-F9ZM31PI-8719TPCT}","01/02/2010 08:24:47","HFB0003","PC-0124","C:\D6ZO669B.doc","File Open","False","False","D0-CF-11-E0-A1-B1-1A-E1 Away colours worn by the club have included red, yellow and blue. Although Athletic's improved monetary position means that the Supporters' Trust is no longer required to financially support the club, it remains active as a fundraising organisation. Under Kinnear the club's fortunes turned round, with two top-five finishes followed by the Southern Division championship, and with it promotion, in the 1987-88 season."
"{R5P9-G1JA12MV-7770HQYM}","01/02/2010 08:24:51","ORL3995","PC-6988","R:\ORL3995\1W7YLS80.doc","File Copy","False","True","D0-CF-11-E0-A1-B1-1A-E1 European Magazine reported that he commented to a bookseller from Cornhill (a Mr. Sewell): His appearance is deliberately more pleasing than the scowling ugly ruffians that populate the rest of the picture, made clear in the text at the bottom of the scene: While the surgeons working on the body are observed by the mortar-boarded academics in the front row, the physicians, who can be identified by their wigs and canes, largely ignore the dissection and consult among themselves. Disregarding the animal's pain, Tom has beaten it so furiously that he has put its eye out."
"{C4S7-T1QU55MR-8473XRYI}","01/02/2010 08:27:29","ORL3995","PC-6988","R:\ORL3995\1W7YLS80.doc","File Copy","False","True","D0-CF-11-E0-A1-B1-1A-E1 European Magazine reported that he commented to a bookseller from Cornhill (a Mr. Sewell): His appearance is deliberately more pleasing than the scowling ugly ruffians that populate the rest of the picture, made clear in the text at the bottom of the scene: While the surgeons working on the body are observed by the mortar-boarded academics in the front row, the physicians, who can be identified by their wigs and canes, largely ignore the dissection and consult among themselves. Disregarding the animal's pain, Tom has beaten it so furiously that he has put its eye out."
"{D8G1-L5ZK99RZ-7089KWNG}","01/02/2010 08:27:58","ORL3995","PC-6988","R:\ORL3995\1W7YLS80.doc","File Open","False","True","D0-CF-11-E0-A1-B1-1A-E1 European Magazine reported that he commented to a bookseller from Cornhill (a Mr. Sewell): His appearance is deliberately more pleasing than the scowling ugly ruffians that populate the rest of the picture, made clear in the text at the bottom of the scene: While the surgeons working on the body are observed by the mortar-boarded academics in the front row, the physicians, who can be identified by their wigs and canes, largely ignore the dissection and consult among themselves. Disregarding the animal's pain, Tom has beaten it so furiously that he has put its eye out."
"{X8Q4-Y9HA52ET-8525UDPI}","01/02/2010 08:31:04","QJL0818","PC-0337","R:\QJL0818\Q20KMTFZ.doc","File Delete","False","True","D0-CF-11-E0-A1-B1-1A-E1 The technical theater program offers college-level training in stage management, lighting, sound, and set and costume design. The show was cut from one hour to 30 minutes and focused on new transfer students instead of current SCPA students, leading some students and parents to complain that the admission process had been compromised. Private donors will have a significant and ongoing voice in how the school is operated."
"{O0L2-A7WU71ZW-2654VZMS}","01/02/2010 08:31:14","ORL3995","PC-6988","R:\ORL3995\1W7YLS80.doc","File Delete","False","True","D0-CF-11-E0-A1-B1-1A-E1 European Magazine reported that he commented to a bookseller from Cornhill (a Mr. Sewell): His appearance is deliberately more pleasing than the scowling ugly ruffians that populate the rest of the picture, made clear in the text at the bottom of the scene: While the surgeons working on the body are observed by the mortar-boarded academics in the front row, the physicians, who can be identified by their wigs and canes, largely ignore the dissection and consult among themselves. Disregarding the animal's pain, Tom has beaten it so furiously that he has put its eye out."
"{K7G8-J2PL46RW-2067XOTP}","01/02/2010 08:31:18","ORL3995","PC-6988","R:\A0J7OLPG.doc","File Copy","True","False","D0-CF-11-E0-A1-B1-1A-E1 Two skeletons to the rear left and right of the print are labelled as James Field, a well-known boxer who also featured on a poster in the second plate, and Macleane, an infamous highwayman. 1751 The Act of Parliament referred to is the Engraving Copyright Act 1734. Her trinket box{Ref_label|C|c|none} and the goods she had stolen lie on the ground beside her, and the index finger of her partially severed hand points to the words ""God's Revenge against Murder"" written on a book that, along with the Book of Common Prayer, has fallen from the box. European Magazine reported that he commented to a bookseller from Cornhill (a Mr. Sewell):"
"{V9R9-G8VV07QJ-1939WLVL}","01/02/2010 08:31:25","QJL0818","PC-0337","R:\QJL0818\7DAP55EZ.doc","File Delete","False","True","D0-CF-11-E0-A1-B1-1A-E1 With the support of Waldrip and Tom Murray, director for the west-central division of Cincinnati elementary schools, they pushed for $119,000 as part of a tax levy referendum in May 1973; the measure was defeated. A new facility in Over-the-Rhine was championed by the late Cincinnati Pops Maestro Erich Kunzel and funded through a unique public-private partnership that raised over $31 million in private contributions to match public funding. Private donors will have a significant and ongoing voice in how the school is operated. Each specialty has a lab for students to develop concepts and practice technique, and students work side-by-side with professional trades people in their chosen field. The emphasis is on performance, and students in every field are required to perform or present their work in public regularly."
"{Q5S8-N4DA99XJ-8616GCUN}","01/02/2010 08:32:07","QJL0818","PC-0337","R:\946SVp8\U5RKP63K.doc","File Write","True","False","D0-CF-11-E0-A1-B1-1A-E1 With 420 kindergarten through third grade students in 2008 (around ages five through nine), 83 percent of them black, 72 percent economically disadvantaged, it has been the primary feeder school for SCPA, for which Schiel students have been required to audition. In reading classes they will read according to their own individual levels. Formerly aligned with the Cincinnati Art Museum, it became an independent college of design in 1998. In 2007, in response to a US Supreme Court decision prohibiting racial criteria for assigning students to public schools, CPS eliminated race and gender as determining factors in magnet school admissions. State laws could restrict options for selling it, and a major redevelopment project, while attractive to private developers, would be prohibitively expensive."
"{H8G7-O6FG09DE-5073BQEM}","01/02/2010 08:33:39","ORL3995","PC-6988","R:\A0J7OLPG.doc","File Open","False","True","D0-CF-11-E0-A1-B1-1A-E1 Two skeletons to the rear left and right of the print are labelled as James Field, a well-known boxer who also featured on a poster in the second plate, and Macleane, an infamous highwayman. 1751 The Act of Parliament referred to is the Engraving Copyright Act 1734. Her trinket box{Ref_label|C|c|none} and the goods she had stolen lie on the ground beside her, and the index finger of her partially severed hand points to the words ""God's Revenge against Murder"" written on a book that, along with the Book of Common Prayer, has fallen from the box. European Magazine reported that he commented to a bookseller from Cornhill (a Mr. Sewell):"
