"id","date","user","pc","activity"
"{G3N1-Y6ME64CI-8759LTVW}","01/02/2010 08:06:00","MRP2821","PC-5868","Logon"
"{T1D9-Q6CE37PL-4905WPKL}","01/02/2010 08:07:00","CHS0881","PC-9373","Logon"
"{M2I2-D2PX16WX-0503UVXK}","01/02/2010 08:07:00","GSD3918","PC-3768","Logon"
"{W6Z4-Q9VE25HG-4820YFZN}","01/02/2010 08:07:00","NFH1918","PC-3807","Logon"
"{G7E2-Z4EX22SL-3121ERPZ}","01/02/2010 08:08:00","MKH0627","PC-2291","Logon"
"{K7Z4-P0MW14GZ-5015FEDW}","01/02/2010 08:09:00","BJB3329","PC-2009","Logon"
"{G3X1-I1UX78FF-3011GMHO}","01/02/2010 08:09:00","KSI0306","PC-3402","Logon"
"{F6W7-J2LX43MP-1650JQBU}","01/02/2010 08:10:00","BMH0872","PC-8654","Logon"
"{N0R1-K1EB13LD-2959GHUG}","01/02/2010 08:10:00","VXR0344","PC-4646","Logon"
"{X7V8-D6NQ06RA-1108BJAU}","01/02/2010 08:11:00","KRF0163","PC-3220","Logon"
"{X3A7-E1LZ08PT-2761OWYD}","01/02/2010 08:11:00","UMH3185","PC-2027","Logon"
"{W0B9-R6SH65DO-2158XLWQ}","01/02/2010 08:12:00","CKG0305","PC-4087","Logon"
"{O9K5-D7LK85MS-4128HTEB}","01/02/2010 08:12:00","DNH3656","PC-3452","Logon"
"{T3H3-J4BD34UU-2888XYZD}","01/02/2010 08:12:00","DTR3804","PC-1960","Logon"
"{O6H1-J9QF27JV-8127RYKB}","01/02/2010 08:12:00","QJB0682","PC-5793","Logon"
"{P7U3-W4ET32NA-9573WKUJ}","01/02/2010 08:13:00","JAR2800","PC-3555","Logon"
"{Z5O0-U4MC85PN-0490LWZC}","01/02/2010 08:13:11","XCV2197","PC-2534","Logoff"
"{K2B1-C7WO35MZ-3122FHRJ}","01/02/2010 08:14:00","LOM3325","PC-9876","Logon"
"{E9I3-R1MK95WH-1664GFNW}","01/02/2010 08:14:00","VCB0339","PC-4966","Logon"
"{X3L2-B4AK01VJ-2018AKNZ}","01/02/2010 08:15:00","AKR3449","PC-7462","Logon"
"{B3M8-R0FR60DW-0207MQKA}","01/02/2010 08:15:00","AMC2891","PC-4288","Logon"
"{J5R5-P0WJ92WT-1587BOEU}","01/02/2010 08:15:00","HDM3182","PC-6969","Logon"
"{Q2E4-I1GE63ND-0616VQSQ}","01/02/2010 08:15:00","NCR1068","PC-9130","Logon"
"{E3X7-U2NO41FW-8501LJTU}","01/02/2010 08:15:00","RSR3893","PC-9687","Logon"
"{S5T5-V2KH49DI-9282IJWU}","01/02/2010 08:16:00","NLF3491","PC-7559","Logon"
"{G6D6-E1AG74VY-4446JFIS}","01/02/2010 08:19:00","NMR3225","PC-3194","Logon"
"{R0M3-I5MS37YU-6180HOFJ}","01/02/2010 08:19:00","PAS3463","PC-4890","Logon"
"{B6B7-N2EQ98TN-6309YFIO}","01/02/2010 08:22:48","HFB0003","PC-7219","Logoff"
"{J7M2-W8DI84TQ-8931OFET}","01/02/2010 08:23:00","MOD0948","PC-3164","Logon"
"{B5U4-M7EQ28DX-8057RYFB}","01/02/2010 08:24:00","KMC1083","PC-4695","Logon"
"{P3G1-L5IN80XR-0426LLHA}","01/02/2010 08:25:00","CLW2894","PC-4639","Logon"
"{Y9L8-S2WV81NJ-9459RPOG}","01/02/2010 08:26:00","IFG0414","PC-5569","Logon"
"{M8J5-K6PR61VE-0057TDAP}","01/02/2010 08:30:00","ASW3498","PC-6355","Logon"
"{R8H6-S7GG98EF-9557XXGL}","01/02/2010 08:30:00","HCM3452","PC-5109","Logon"
"{C5C2-L5CW31XY-7017BZVF}","01/02/2010 08:30:00","RLM3469","PC-8826","Logon"
"{Y5D2-N4SZ41GQ-5904VAEE}","01/02/2010 08:35:00","NWA2413","PC-0000","Logon"
"{W0K2-G0SK75IS-1864CQYN}","01/02/2010 08:39:00","ZCH2757","PC-6717","Logon"
"{O5B2-S8UO17JQ-1840TBLP}","01/02/2010 08:40:00","ZNS0727","PC-7935","Logon"
"{M9A0-A3EC49EU-0009NVEO}","01/02/2010 08:45:00","BLV3746","PC-9213","Logon"
"{A0Y3-A9FR58WP-9310ZMGC}","01/02/2010 08:46:00","TWA3552","PC-7316","Logon"
"{A5Y6-F2YS44WF-3794PUQU}","01/02/2010 08:50:00","MEM2368","PC-1738","Logon"
"{U5A1-Y7AV98ON-1025ELNC}","01/02/2010 08:50:00","QKW3749","PC-8246","Logon"
"{E4U0-G1DM06NW-2147DDMS}","01/02/2010 08:53:00","TRH1062","PC-3134","Logon"
"{X3T2-X7FE72FK-2814VFOJ}","01/02/2010 08:54:00","CAM3092","PC-6503","Logon"
"{Q9A6-I5TW90JL-1202LUNK}","01/02/2010 08:54:00","NRB3685","PC-0207","Logon"
"{R1N7-R8HA02UE-4110XPSK}","01/02/2010 08:57:00","QKS1047","PC-7265","Logon"
"{V7J1-B8GR14RA-6769GZOX}","01/02/2010 08:57:00","ZJK3088","PC-6780","Logon"
"{K0Q4-C5CG20WF-1011KWUY}","01/02/2010 08:59:00","AOC1105","PC-2535","Logon"
"{S6L7-R1FG03XO-1267WIAQ}","01/02/2010 09:04:00","ALH3845","PC-5066","Logon"
"{U2Z1-I3FH30CK-1284DORT}","01/02/2010 09:05:00","DNR3831","PC-3125","Logon"
"{N8G5-T6GA67ZS-6543UZHM}","01/02/2010 09:05:00","JPH1910","PC-3778","Logon"
"{W6Q1-N3XA45HX-6215PTYA}","01/02/2010 09:06:00","DER0103","PC-5098","Logon"
"{E1H5-M2BG84QC-8482YRLO}","01/02/2010 09:09:00","QNB3034","PC-1090","Logon"
"{U3M7-T1OB74CY-0908LYTW}","01/02/2010 09:10:00","PKW0780","PC-0208","Logon"
"{G5U7-J6WS95NQ-6432ZYTX}","01/02/2010 09:11:00","DVA0539","PC-2539","Logon"
"{O3N2-F6GA84XX-1579ABKY}","01/02/2010 09:12:00","AOP1733","PC-8784","Logon"
"{R9Q7-I2AV50BK-0900UWPB}","01/02/2010 09:12:00","JSS2380","PC-8356","Logon"
"{M4E2-S5JL79BP-5397BRDR}","01/02/2010 09:14:00","LFG2216","PC-8623","Logon"
"{C1A5-C6KI59YP-9102QEMO}","01/02/2010 09:14:00","TJP2213","PC-5731","Logon"
"{X5N4-N8CY43SQ-3268GIUA}","01/02/2010 09:22:00","MCS0066","PC-2136","Logon"
"{K4X1-B1JM80US-4605MPWV}","01/02/2010 09:24:00","TBA0471","PC-7156","Logon"
"{Q3S5-H3XM01UN-2915AAJH}","01/02/2010 09:40:08","SIH1756","PC-0888","Logon"
"{K6D1-I7FQ84FQ-7698DHDC}","01/02/2010 09:48:08","MKW2105","PC-9446","Logon"
"{U3F7-C4WJ65YW-7363IGON}","01/02/2010 09:53:41","HBN0384","PC-9145","Logon"
"{T2E0-Z4QM42FF-2896BGYG}","01/02/2010 09:55:28","AKC0847","PC-3176","Logon"
"{S3Y5-X2IX98JF-7947JGJV}","01/02/2010 10:04:15","MKW2105","PC-9446","Logoff"
"{K8J2-U2XT90KM-6037FEWD}","01/02/2010 10:22:01","RTR3146","PC-1124","Logon"
"{N0C5-K8AK81LU-3329SFJL}","01/02/2010 10:29:36","NCR1068","PC-9130","Logon"
"{O6A8-H9QQ48OF-7545WCAL}","01/02/2010 10:34:34","AKR3449","PC-7462","Logon"
"{T7Y0-L5VK82FA-9338BVEL}","01/02/2010 10:50:07","AOP1733","PC-1800","Logon"
"{J1M1-Z8VR17XE-1686GIGK}","01/02/2010 10:52:40","SBD2077","PC-1627","Logon"
"{S5V0-F9IN28NE-2744ENPK}","01/02/2010 10:55:06","HCB3101","PC-4319","Logon"
"{B3K6-R4QX88UY-1316NXDO}","01/02/2010 10:55:38","GSR0629","PC-9900","Logon"
"{X9U1-P0FC35NZ-0914ZLOE}","01/02/2010 10:56:03","TMN2607","PC-1840","Logon"
"{O0A3-Q7NX13BL-6133IRMN}","01/02/2010 10:57:23","UMH3185","PC-2027","Logon"
"{F6I1-O4LD12SN-9347NRHS}","01/02/2010 10:57:58","ERW2323","PC-9338","Logon"
"{S9G8-V4OM20EP-3222DTGM}","01/02/2010 11:07:29","RRD0203","PC-2154","Logon"
"{V5S1-M5OC27LD-6916OSYA}","01/02/2010 11:12:59","MAR1422","PC-3944","Logon"
"{X4I3-V1MR87VH-8125IKSL}","01/02/2010 11:19:30","KKF0303","PC-3082","Logon"
"{J2S4-G6OU57RT-4420IWWQ}","01/02/2010 11:21:32","MAR1422","PC-3944","Logoff"
"{E8F5-T9DH57AV-0112FYUC}","01/02/2010 11:21:48","AOP1733","PC-1800","Logoff"
"{E6U2-M7IL41CX-1515JDQA}","01/02/2010 11:24:25","FOG0204","PC-3042","Logon"
"{O5X7-I1PL80AD-8205HOTV}","01/02/2010 11:34:15","RFC2472","PC-6013","Logon"
"{V5B7-C7KN99NF-2207KTVD}","01/02/2010 11:39:04","RRD0203","PC-2154","Logoff"
"{B4J1-P2YL85UZ-2311QNUX}","01/02/2010 11:43:44","NDD0597","PC-7588","Logon"
"{R0E5-R5TZ96CI-7083HONL}","01/02/2010 11:44:00","ECK0070","PC-9955","Logon"
"{J8R9-V5UP88GV-3754KKYD}","01/02/2010 11:44:13","NMR3225","PC-3194","Logon"
"{Q0O8-X1XU48MW-8548BMWH}","01/02/2010 11:44:36","YFW0364","PC-8072","Logon"
"{D1K9-O9MQ29HE-2515ILPW}","01/02/2010 11:46:45","RAC2950","PC-0671","Logon"
"{G3B9-J8AD35MB-9975ROYF}","01/02/2010 11:47:17","ECH3561","PC-3694","Logon"
"{S7U0-D4KS25FY-3527LGXI}","01/02/2010 11:48:33","SCF2666","PC-3577","Logon"
"{E7N2-P4EJ97OV-5152HYZN}","01/02/2010 11:48:59","BEB2949","PC-1111","Logon"
"{Y1L6-N5TK01OJ-7142TJVD}","01/02/2010 11:50:04","RSB1940","PC-2297","Logon"
"{Z4R7-V9QB26RP-4313TKUM}","01/02/2010 11:53:16","AMC2891","PC-4288","Logon"
"{N6L1-Q3CG16CT-5787BQGC}","01/02/2010 11:59:12","QJB0682","PC-5793","Logon"
"{W3U4-E5PA76HE-1110EIPB}","01/02/2010 12:01:20","CCB3358","PC-1549","Logon"
"{Y7Z9-D0DF89VI-6626ZDCI}","01/02/2010 12:02:27","JMB0141","PC-0100","Logon"
"{W5O2-T6CE69EN-3519KXJU}","01/02/2010 12:03:41","BJB3329","PC-2009","Logon"
"{D6G5-A2DL72RQ-0903GBQD}","01/02/2010 12:05:12","RTR1463","PC-8503","Logon"
"{P2E3-X7PC61ZN-3841YJHB}","01/02/2010 12:06:34","CHS2823","PC-2766","Logon"
"{P0E7-C2UB47LT-6715KYFN}","01/02/2010 12:07:05","KSI0306","PC-3402","Logon"
"{I1A8-S0RJ31IJ-1205EHZB}","01/02/2010 12:07:09","KJL3266","PC-6274","Logon"
"{W6R1-I0GX31CT-7501ZPKI}","01/02/2010 12:10:18","RMH3611","PC-8071","Logon"
"{L2Y8-L8UX47HT-4702RDKD}","01/02/2010 12:15:51","SBB1748","PC-3684","Logon"
"{V1R4-E7AX60YF-1759GLSW}","01/02/2010 12:20:58","GJH3668","PC-3289","Logon"
"{E7P1-E3HP72LN-7553TIOW}","01/02/2010 12:21:47","JAR2800","PC-3555","Logon"
"{N2U4-Q7RH08CI-0084HLBJ}","01/02/2010 12:21:48","XCV2197","PC-7622","Logon"
"{N1Z1-I9FF08HR-7078LNRU}","01/02/2010 12:21:55","HMF3055","PC-2919","Logon"
"{G9J4-T0VJ11VE-7501FMXZ}","01/02/2010 12:23:04","EEC3140","PC-8416","Logon"
"{C7S3-U7CL41ZX-1692PKLK}","01/02/2010 12:24:36","MWD2703","PC-8794","Logon"
"{O8I3-X0QS08DM-2535IBJQ}","01/02/2010 12:27:34","TWA3552","PC-7316","Logon"
"{Q1T5-X8GU91JN-3534LRCU}","01/02/2010 12:31:08","DSH0923","PC-8009","Logon"
"{C8S6-G9AG35CU-6102MQVC}","01/02/2010 12:31:25","PRW1467","PC-1163","Logon"
"{B6F5-M9BN14TQ-3613IHLH}","01/02/2010 12:33:49","MCJ0755","PC-8294","Logon"
"{Q3F8-W6CI08FD-5285NHRI}","01/02/2010 12:34:36","CTL1598","PC-7376","Logon"
"{J8Y8-X0SX51WN-1544GFZQ}","01/02/2010 12:39:23","HMF3055","PC-2919","Logoff"
"{J3L8-U4LH11AS-8846VNPN}","01/02/2010 12:39:57","DTR1323","PC-4277","Logon"
"{I2Q9-H4VF38RX-5069GOHR}","01/02/2010 12:40:09","DNR3831","PC-3125","Logon"
"{M1Z3-G1JC14SC-2442BGFP}","01/02/2010 12:42:07","NLP0314","PC-2101","Logon"
"{V0I7-V8ON71ZA-1835TEMN}","01/02/2010 12:46:14","MAR1422","PC-1050","Logon"
"{T4L3-N3BD32WX-1462FVNV}","01/02/2010 12:47:42","MRP2821","PC-5868","Logon"
"{U9I5-Z8CQ92AJ-0514ZCQR}","01/02/2010 12:49:52","IJO2659","PC-9331","Logon"
"{Z2U6-Z8RR90QQ-7066GPUD}","01/02/2010 12:50:30","MKH0627","PC-2291","Logon"
"{I6P6-K5IX15XE-6320YSSE}","01/02/2010 12:50:34","DER0103","PC-5098","Logon"
"{V4B5-G8EB98PW-5132EGAY}","01/02/2010 12:53:50","VDD1357","PC-8505","Logon"
"{B0E4-O5WG89UY-1607TABB}","01/02/2010 12:57:39","CHS0881","PC-9373","Logon"
