id,date,user,pc,file_tree,activity
{I4S7-D8JV92GX-6779EZGA},01-02-2010 08:25,BZD3640,PC-3239,R:\;R:\62Jjtk0;R:\BZD3640,Connect
{M8B1-O5AH27YD-0421WSDQ},01-02-2010 08:27,DTR3804,PC-1960,R:\;R:\DTR3804,Connect
{Y3B5-A5EW69FM-3202VHNF},01-02-2010 08:28,DTR3804,PC-1960,,Disconnect
{Z2A8-V5NC69FV-2056TSTE},01-02-2010 08:29,QJL0818,PC-0337,R:\;R:\946SVp8;R:\QJL0818,Connect
{V7Z5-E5GR67YJ-8020OQBV},01-02-2010 08:30,RTR1463,PC-8503,,Disconnect
{W8F2-O6VK25YQ-5532HHGF},01-02-2010 08:30,CTH1005,PC-6458,R:\;R:\37z9Q45;R:\87kPfG0;R:\CTH1005,Connect
{T6V3-Y1FO18HM-4391QPYM},01-02-2010 08:31,RTR1463,PC-8503,R:\;R:\RTR1463,Connect
{S0D5-D2NL17VQ-8632YJEP},01-02-2010 08:32,JCL2626,PC-9929,,Disconnect
{P0S9-V9BF47WB-7602NQHW},01-02-2010 08:32,CAH0440,PC-7210,,Disconnect
{T4J0-R2SV11CW-8125WFIU},01-02-2010 08:33,QJL0818,PC-0337,,Disconnect
{V7D6-V8MK30PX-6591ZBBY},01-02-2010 08:36,AYA0285,PC-5225,R:\;R:\91w2D45;R:\AYA0285,Connect
{D5S4-T7OU57RC-7387XXGO},01-02-2010 08:37,DTR1323,PC-4277,,Disconnect
{K7H7-V8BS33KB-2231JQXG},01-02-2010 08:39,ECH3561,PC-3694,,Disconnect
{F7Y2-F7WY14JA-3533ORCM},01-02-2010 08:39,BLF0313,PC-7752,,Disconnect
{D7N6-I4MN73IW-6558DAAM},01-02-2010 08:42,APM1561,PC-2650,,Disconnect
{B4C6-S9TS68SL-9342CJHO},01-02-2010 08:43,BLF0313,PC-7752,R:\;R:\97yt163;R:\BLF0313,Connect
{W2Z1-X1JB63JJ-6308MNCW},01-02-2010 08:44,BLF0313,PC-7752,,Disconnect
{S8Y5-O6BA44IY-8372COZJ},01-02-2010 08:46,ORL3995,PC-6988,,Disconnect
{W3N6-N3LZ05PJ-0818EOQW},01-02-2010 08:46,KKF0303,PC-3082,R:\;R:\61LK793;R:\KKF0303,Connect
{R8Q0-J7RR72XZ-4952GTOK},01-02-2010 08:47,VXR0344,PC-4646,R:\;R:\14l9ZR4;R:\37j9sb4;R:\49WD783;R:\VXR0344,Connect
{Y1T5-X1LL50NP-3115TUFP},01-02-2010 08:48,PWE1562,PC-5650,R:\;R:\59D6f25;R:\62lk5g2;R:\63y63T6;R:\PWE1562,Connect
{F1V9-V0IK94JC-2840UXFU},01-02-2010 08:51,MOD0948,PC-3164,R:\;R:\55X8VL4;R:\578PJ49;R:\819yVL8;R:\MOD0948,Connect
{O7S9-M8AH43KT-2713IBJF},01-02-2010 08:51,AYA0285,PC-5225,,Disconnect
{H7C9-J5TJ63VE-2781MOSU},01-02-2010 08:51,BZD3640,PC-3239,,Disconnect
{T3O7-U2DA17AE-7509FDMZ},01-02-2010 08:52,DTR1323,PC-4277,R:\;R:\57Kq893;R:\95Lf5X2;R:\DTR1323,Connect
{H3O0-Z5XP86HI-2465TIHK},01-02-2010 08:52,ASF1622,PC-6097,R:\;R:\33ksT61;R:\86H84t6;R:\91QG2n2;R:\95Fc8F2;R:\ASF1622,Connect
{U0M5-V9NW27SB-0120KBNH},01-02-2010 08:54,CTH1005,PC-6458,,Disconnect
{V9I6-U8CJ92UT-3921QDPH},01-02-2010 08:55,QJL0818,PC-0337,R:\;R:\946SVp8;R:\QJL0818,Connect
{D1D7-A9BB31MM-7411QCDZ},01-02-2010 08:59,CWG3213,PC-3912,R:\;R:\22JX233;R:\23Nj8Z2;R:\56fL133;R:\88rpk51;R:\CWG3213,Connect
{Q6Z3-B5GJ09TI-3930FKNM},01-02-2010 09:00,DTR1323,PC-4277,,Disconnect
{C5F7-N8HR38OI-4386JCHY},01-02-2010 09:00,DTR1323,PC-4277,R:\;R:\57Kq893;R:\95Lf5X2;R:\DTR1323,Connect
{K5Z8-Z6LH02UA-8927OSVQ},01-02-2010 09:01,DTR1323,PC-4277,,Disconnect
{D8G4-H8YP61PM-5198KJBC},01-02-2010 09:03,CLW2894,PC-4639,R:\;R:\CLW2894,Connect
{Y4X2-Y9IW20CV-3183DKBJ},01-02-2010 09:05,MOD0948,PC-3164,,Disconnect
{B8J7-J1AO41BL-9009BIPX},01-02-2010 09:05,CTH1005,PC-6458,R:\;R:\37z9Q45;R:\87kPfG0;R:\CTH1005,Connect
{Z0D3-F9VA45MW-2000HMRM},01-02-2010 09:05,PWE1562,PC-5650,,Disconnect
{Z8N8-A4DZ91VH-6387LAPS},01-02-2010 09:06,XCV2197,PC-7622,R:\;R:\17LTL51;R:\646Qc89;R:\86p1717;R:\XCV2197,Connect
{J2A2-E5WM86QN-6675BXTO},01-02-2010 09:06,CLW2894,PC-4639,,Disconnect
{I2M9-L1HW58HZ-4689KKDM},01-02-2010 09:06,APM1561,PC-2650,R:\;R:\13t13V6;R:\49cGB81;R:\69s7C55;R:\92yqD31;R:\APM1561,Connect
{N4D5-Z0JW23GS-6901DJHC},01-02-2010 09:06,VXR0344,PC-4646,,Disconnect
{H6W9-O9QB69IH-6539AKRK},01-02-2010 09:09,QJB0682,PC-5793,R:\;R:\23bB4q2;R:\QJB0682,Connect
{Q8Y2-K6EY22QA-5395EPJO},01-02-2010 09:09,MOD0948,PC-3164,R:\;R:\55X8VL4;R:\578PJ49;R:\819yVL8;R:\MOD0948,Connect
{Q7H8-H2WE03US-2279GXLW},01-02-2010 09:10,QJL0818,PC-0337,,Disconnect
{M5W3-L1KS65UL-9842XFEA},01-02-2010 09:11,ASF1622,PC-6097,,Disconnect
{M3W0-F4UP40CJ-0827NBHE},01-02-2010 09:11,STH2849,PC-2145,R:\;R:\62c4xX4;R:\747ZN79;R:\STH2849,Connect
{K1V1-N1DV64YY-1688HILR},01-02-2010 09:13,ORL3995,PC-6988,R:\;R:\13H4g35;R:\799Tc39;R:\811Km19;R:\ORL3995,Connect
{G3P3-W0EZ37RN-4813XYNC},01-02-2010 09:13,DNR3831,PC-3125,R:\;R:\DNR3831,Connect
{R8K0-W7GN60SV-1418AIRR},01-02-2010 09:14,STH2849,PC-2145,,Disconnect
{M2D9-X6BZ14VH-4812ANVK},01-02-2010 09:14,CWG3213,PC-3912,,Disconnect
{I7V6-K9PG58DN-9856WTUT},01-02-2010 09:14,DTR3804,PC-1960,R:\;R:\DTR3804,Connect
{F0A6-R4BN13BH-2261VZZE},01-02-2010 09:15,BZD3640,PC-3239,R:\;R:\62Jjtk0;R:\BZD3640,Connect
{C7O7-L1PL73ZP-5706ZXTW},01-02-2010 09:17,CGA3273,PC-9160,R:\;R:\27WL893;R:\43Jq523;R:\58L3157;R:\79Py9n2;R:\CGA3273,Connect
{E6D7-W7WI22LX-9614YCOP},01-02-2010 09:17,AOC1105,PC-2535,R:\;R:\28rfq71;R:\33ggt71;R:\45R9N95;R:\96pnnF0;R:\AOC1105,Connect
{K6Q2-M9ZN66NM-8593ZJQH},01-02-2010 09:17,QJB0682,PC-5793,,Disconnect
{B9V1-A7YC23JA-1143XUKX},01-02-2010 09:18,DTR1323,PC-4277,R:\;R:\57Kq893;R:\95Lf5X2;R:\DTR1323,Connect
{A6I3-R0FP37XX-0746HNDA},01-02-2010 09:21,YFW0364,PC-8072,R:\;R:\14C8ZW4;R:\41MrBk0;R:\84s59R6;R:\89rr493;R:\YFW0364,Connect
{M8M5-P1ZS72EU-4964RHEX},01-02-2010 09:22,UWC1584,PC-3101,R:\;R:\591DGx8;R:\88x4Sg4;R:\UWC1584,Connect
{G9V3-L5ED18FZ-8076AAAB},01-02-2010 09:22,YFW0364,PC-8072,,Disconnect
{M1Y5-I5SC87WL-6440SOWW},01-02-2010 09:23,QJL0818,PC-0337,R:\;R:\946SVp8;R:\QJL0818,Connect
{H2F8-R1TI52IX-6736CTPU},01-02-2010 09:23,ORL3995,PC-6988,,Disconnect
{A0X8-K4EV33WU-7481CPJA},01-02-2010 09:24,APM1561,PC-2650,,Disconnect
{A3R6-H4IR01HV-4845JWCB},01-02-2010 09:25,MAR1422,PC-1050,R:\;R:\MAR1422,Connect
{Q6Z2-A6CS20FX-3409NHOO},01-02-2010 09:25,GJC1333,PC-1553,R:\;R:\35FB143;R:\GJC1333,Connect
{G9H2-G1IZ09IU-7890CVBA},01-02-2010 09:27,DTR1323,PC-4277,,Disconnect
{Q4T7-P0QX80GK-1313HBGR},01-02-2010 09:27,SBB1748,PC-3684,R:\;R:\898RwH8;R:\SBB1748,Connect
{J5I3-K9KU35FY-1236GBLN},01-02-2010 09:28,BZD3640,PC-3239,,Disconnect
{L2Z9-G6NW38UW-9311KEOQ},01-02-2010 09:28,GJC1333,PC-1553,,Disconnect
{G7D4-Q0QR52ER-5213FKTL},01-02-2010 09:28,JCL2626,PC-9929,R:\;R:\14GT3L2;R:\21r19h6;R:\JCL2626,Connect
{W9J9-Z4AJ19KK-5246KPOP},01-02-2010 09:29,JCL2626,PC-9929,,Disconnect
{B1S1-R1UF86AB-2252UNFO},01-02-2010 09:29,UWC1584,PC-3101,,Disconnect
{K0F5-Q7DN69FR-1913HTBZ},01-02-2010 09:29,DTR1323,PC-4277,R:\;R:\57Kq893;R:\95Lf5X2;R:\DTR1323,Connect
{J7P2-U1XM00KY-0829RMLT},01-02-2010 09:29,YFW0364,PC-8072,R:\;R:\14C8ZW4;R:\41MrBk0;R:\84s59R6;R:\89rr493;R:\YFW0364,Connect
{L4L8-R2HW99IF-4319MDYR},01-02-2010 09:30,XCV2197,PC-7622,,Disconnect
{L7L6-K5XI78AW-0813UNWC},01-02-2010 09:31,HEP3784,PC-8147,R:\;R:\HEP3784,Connect
{F4B7-B8NV06DQ-6013XZYS},01-02-2010 09:32,ORL3995,PC-6988,R:\;R:\13H4g35;R:\799Tc39;R:\811Km19;R:\ORL3995,Connect
{Z1L2-C4YJ94EZ-5473XUYZ},01-02-2010 09:33,ORL3995,PC-6988,,Disconnect
{I3V2-N4OW47RU-5072ABRP},01-02-2010 09:33,MOD0948,PC-3164,,Disconnect
{D1U7-I9RU93DG-9502FKJZ},01-02-2010 09:34,YFW0364,PC-8072,,Disconnect
{D2X1-D6KS42QE-9030UGBI},01-02-2010 09:34,AOC1105,PC-2535,,Disconnect
{S5C5-Z5ED85XE-6114LLVZ},01-02-2010 09:34,KKF0303,PC-3082,,Disconnect
{I0A5-H9ON13JX-6181YFYZ},01-02-2010 09:36,PWE1562,PC-5650,R:\;R:\59D6f25;R:\62lk5g2;R:\63y63T6;R:\PWE1562,Connect
{W6K4-Q3RU84XM-1906STQR},01-02-2010 09:37,MAR1422,PC-1050,,Disconnect
{Y7Y1-T5ET88IT-7855QPQC},01-02-2010 09:38,STH2849,PC-2145,R:\;R:\62c4xX4;R:\747ZN79;R:\STH2849,Connect
{Q4I9-B7LH87WH-3338JVWP},01-02-2010 09:39,HEP3784,PC-8147,,Disconnect
{S5H6-L9QC68EL-0993JMCB},01-02-2010 09:40,DTR1323,PC-4277,,Disconnect
{F2X4-G0XC09SY-0117AMJO},01-02-2010 09:40,AYA0285,PC-5225,R:\;R:\91w2D45;R:\AYA0285,Connect
{B5C6-L0LO73LL-4857KMHB},01-02-2010 09:41,DNR3831,PC-3125,,Disconnect
{D3E9-R9JG72VU-3514OTWB},01-02-2010 09:42,SBB1748,PC-3684,,Disconnect
{T6O3-B3KZ24NP-0130TAND},01-02-2010 09:43,ORL3995,PC-6988,R:\;R:\13H4g35;R:\799Tc39;R:\811Km19;R:\ORL3995,Connect
{V3Z3-N9PD55GZ-0200HNZX},01-02-2010 09:43,MTC2073,PC-0328,R:\;R:\MTC2073,Connect
{O4Q6-J4SG70WZ-3902QOSO},01-02-2010 09:43,DTR1323,PC-4277,R:\;R:\57Kq893;R:\95Lf5X2;R:\DTR1323,Connect
{V2T9-F6OU76XA-8500VVYB},01-02-2010 09:44,HEP3784,PC-8147,R:\;R:\HEP3784,Connect
{E4R4-R2EN58RK-9072AVXH},01-02-2010 09:44,CAH0440,PC-7210,R:\;R:\42mzCW0;R:\56HXGv0;R:\96c6Gh4;R:\99s3QR4;R:\CAH0440,Connect
{N3M9-D6JJ13IM-8617BVVE},01-02-2010 09:44,DNH3656,PC-3452,R:\;R:\37d69w6;R:\DNH3656,Connect
{C6Z3-X7NG01UW-0140NOKW},01-02-2010 09:45,BZD3640,PC-3239,R:\;R:\62Jjtk0;R:\BZD3640,Connect
{D8B8-C2MH14GR-3705XDAY},01-02-2010 09:45,RTR1463,PC-8503,,Disconnect
{X3Q8-Z9SI80LY-1777JPJG},01-02-2010 09:45,RGB1235,PC-0496,R:\;R:\RGB1235,Connect
{N0V1-B0KB37TD-8130ELLC},01-02-2010 09:46,CTH1005,PC-6458,,Disconnect
{C6Q0-E4NT20JC-2210GDNH},01-02-2010 09:47,CAH0440,PC-7210,,Disconnect
{W3P4-A7GV07SW-6345JGTB},01-02-2010 09:47,ORL3995,PC-6988,,Disconnect
{L0E4-D3JA53BZ-7354VLFZ},01-02-2010 09:48,SIH1756,PC-0888,R:\;R:\18t44Q6;R:\71f8P25;R:\SIH1756,Connect
{O3K6-X3ZK25DV-3029EQJQ},01-02-2010 09:48,SIH1756,PC-0888,,Disconnect
{L4P3-N8QM62RB-5704HBVU},01-02-2010 09:48,SBB1748,PC-3684,R:\;R:\898RwH8;R:\SBB1748,Connect
{Y2U2-O7QZ63BB-3129PZCG},01-02-2010 09:49,BZD3640,PC-3239,,Disconnect
{J6Y4-I5KX93WI-2903LESZ},01-02-2010 09:49,CGA3273,PC-9160,,Disconnect
{J3F9-M3OX29GC-7039MZTY},01-02-2010 09:49,SBB1748,PC-3684,,Disconnect
{E7U7-O4CP00BH-6425EJQN},01-02-2010 09:49,CHS2823,PC-2766,R:\;R:\28PL423;R:\CHS2823,Connect
{D2Z3-F7BZ24CB-9714ODWW},01-02-2010 09:51,RGB1235,PC-0496,,Disconnect
{L8A1-T1IX87ZU-9670COQZ},01-02-2010 09:52,HCB3101,PC-4319,,Disconnect
{Y9C8-X2FF88VD-1409BKJP},01-02-2010 09:54,DNH3656,PC-3452,,Disconnect
{G1J2-K9LR35GZ-9021HRGZ},01-02-2010 09:55,JJF3233,PC-5293,R:\;R:\JJF3233,Connect
{E0D6-L9HJ79PS-0378IKDX},01-02-2010 09:55,APM1561,PC-2650,R:\;R:\13t13V6;R:\49cGB81;R:\69s7C55;R:\92yqD31;R:\APM1561,Connect
{Y5A2-I8GS38LS-7385QFZE},01-02-2010 09:55,STH2849,PC-2145,,Disconnect
{N3P3-J1LQ27IO-5617MGDO},01-02-2010 09:56,AOC1105,PC-2535,R:\;R:\28rfq71;R:\33ggt71;R:\45R9N95;R:\96pnnF0;R:\AOC1105,Connect
{J7R2-D7FX03RC-2718IZQG},01-02-2010 09:59,JJF3233,PC-5293,,Disconnect
{E5F0-O2BR62MC-3171MDMP},01-02-2010 09:59,APM1561,PC-2650,,Disconnect
{T5C3-R2HI18UT-9702FFAC},01-02-2010 09:59,CHS2823,PC-2766,,Disconnect
{W1S1-G7BB19LA-5309CLYI},01-02-2010 10:00,DNR3831,PC-3125,R:\;R:\DNR3831,Connect
{H4Q0-X0CZ55LP-6317FRUA},01-02-2010 10:00,DNH3656,PC-3452,R:\;R:\37d69w6;R:\DNH3656,Connect
{B6B4-K1YW33WI-5880JZWD},01-02-2010 10:01,PWE1562,PC-5650,,Disconnect
{A2G4-B8LX04OH-2202GWGU},01-02-2010 10:01,HEP3784,PC-8147,,Disconnect
{Y9X5-V3LT57AP-0286GQVF},01-02-2010 10:02,QJL0818,PC-0337,,Disconnect
{Y0A5-A5HU89NJ-8039FYOH},01-02-2010 10:03,JCL2626,PC-9929,R:\;R:\14GT3L2;R:\21r19h6;R:\JCL2626,Connect
{P6Y9-P6XP19SO-1165BILL},01-02-2010 10:03,DIE1614,PC-1213,R:\;R:\29X36B6;R:\32p1fP4;R:\34czZ41;R:\DIE1614,Connect
{A5F5-G7EC46UM-1797NHZA},01-02-2010 10:04,DNR3831,PC-3125,,Disconnect
{V4E6-A6LL45WP-8315NFGY},01-02-2010 10:05,CLW2894,PC-4639,R:\;R:\CLW2894,Connect
{H1F6-S4AC85RN-8348HXGY},01-02-2010 10:08,MAR1422,PC-1050,R:\;R:\MAR1422,Connect
{T5F8-X3AU47XT-0867XLES},01-02-2010 10:09,CTH1005,PC-6458,R:\;R:\37z9Q45;R:\87kPfG0;R:\CTH1005,Connect
{J0K7-W0BF64CS-4977TXOR},01-02-2010 10:10,DTR1323,PC-4277,,Disconnect
{H4P9-F6RL58QL-6352GNFU},01-02-2010 10:10,DTR1323,PC-4277,R:\;R:\57Kq893;R:\95Lf5X2;R:\DTR1323,Connect
{B2B9-H5JC73GR-4709VWLO},01-02-2010 10:10,RTR1463,PC-8503,R:\;R:\RTR1463,Connect
{E4K8-A1XQ56MH-7637NRFF},01-02-2010 10:12,ALH3845,PC-5066,R:\;R:\71g7v25;R:\ALH3845,Connect
{I5G9-W7XM02LQ-9868PRZD},01-02-2010 10:13,PWE1562,PC-5650,R:\;R:\59D6f25;R:\62lk5g2;R:\63y63T6;R:\PWE1562,Connect
{K4R0-H7AZ24HL-8691DGRC},01-02-2010 10:14,MAR1422,PC-1050,,Disconnect
{S5B0-T6RF86XQ-2400TQEH},01-02-2010 10:14,FOG0204,PC-3042,R:\;R:\28d8SD4;R:\41Knrn0;R:\FOG0204,Connect
{I3U2-O4KV21JX-8064KXZZ},01-02-2010 10:14,ORL3995,PC-6988,R:\;R:\13H4g35;R:\799Tc39;R:\811Km19;R:\ORL3995,Connect
{F4B2-N1TA14XS-6662QMXG},01-02-2010 10:14,AYA0285,PC-5225,,Disconnect
{C9N5-V1VJ41UC-5557GKTU},01-02-2010 10:14,ORL3995,PC-6988,,Disconnect
{P0U2-L2NE32AR-9527DIPT},01-02-2010 10:14,CWG3213,PC-3912,R:\;R:\22JX233;R:\23Nj8Z2;R:\56fL133;R:\88rpk51;R:\CWG3213,Connect
{O5U0-S6IB35AP-0573VNZR},01-02-2010 10:15,ORL3995,PC-6988,R:\;R:\13H4g35;R:\799Tc39;R:\811Km19;R:\ORL3995,Connect
{U1O4-Z0JB07GW-7001AHIO},01-02-2010 10:16,LFR2971,PC-4611,R:\;R:\68R5377;R:\96Hfr61;R:\LFR2971,Connect
{L2B0-E1KB24AP-5349LQSQ},01-02-2010 10:16,JCL2626,PC-9929,,Disconnect
{L8Q9-B7PD17CB-5703URBT},01-02-2010 10:16,DTR3804,PC-1960,,Disconnect
{W4W5-S7VY56AT-9808HAJE},01-02-2010 10:17,QJL0818,PC-0337,R:\;R:\946SVp8;R:\QJL0818,Connect
{L0L9-I8QB76OA-2838EWTP},01-02-2010 10:18,CTH1005,PC-6458,,Disconnect
{G7Z3-V5JF41YP-7498FGQX},01-02-2010 10:19,QJL0818,PC-0337,,Disconnect
{Z9F7-E7FJ76BO-5801DMKX},01-02-2010 10:19,AOC1105,PC-2535,,Disconnect
{A2N7-P7XC88ON-7112ROYO},01-02-2010 10:22,CLW2894,PC-4639,,Disconnect
{V0D0-A9LK70UE-2391VBSI},01-02-2010 10:22,JJF3233,PC-5293,R:\;R:\JJF3233,Connect
{D3Z7-D9QH70QS-5290FPYC},01-02-2010 10:23,ASF1622,PC-6097,R:\;R:\33ksT61;R:\86H84t6;R:\91QG2n2;R:\95Fc8F2;R:\ASF1622,Connect
{U2N2-L9EI89HO-1613LWMT},01-02-2010 10:24,FOG0204,PC-3042,,Disconnect
{P9S4-A3WD17GV-4211ISES},01-02-2010 10:25,JJF3233,PC-5293,,Disconnect
{T7T4-P0UN27KY-7893BLSP},01-02-2010 10:26,ALH3845,PC-5066,,Disconnect
{C9G2-Z0TC45LU-9180SDMC},01-02-2010 10:27,MOD0948,PC-3164,R:\;R:\55X8VL4;R:\578PJ49;R:\819yVL8;R:\MOD0948,Connect
{E4I5-G2KA51NP-0591OCBE},01-02-2010 10:27,JCL2626,PC-9929,R:\;R:\14GT3L2;R:\21r19h6;R:\JCL2626,Connect
{A5W7-J1IY45WY-1056ZOIM},01-02-2010 10:27,RTR1463,PC-8503,,Disconnect
{D6N7-U2BX63XT-2696KMBH},01-02-2010 10:28,DTR1323,PC-4277,,Disconnect
{X8T7-Q6EW14SU-9774PJTY},01-02-2010 10:29,RGB1235,PC-0496,R:\;R:\RGB1235,Connect
{J3N7-Y5WO84VZ-1347TALH},01-02-2010 10:29,DTR3804,PC-1960,R:\;R:\DTR3804,Connect
{G1S5-F8DH75NS-8998WEHW},01-02-2010 10:30,LFR2971,PC-4611,,Disconnect
{U9X1-C1AD25CY-4005GLXV},01-02-2010 10:32,DTR1323,PC-4277,R:\;R:\57Kq893;R:\95Lf5X2;R:\DTR1323,Connect
{I7Z7-K3CN56IB-8211MILF},01-02-2010 10:36,DTR3804,PC-1960,,Disconnect
{Q0D1-W1PP28PE-8492BVQJ},01-02-2010 10:37,JJF3233,PC-5293,R:\;R:\JJF3233,Connect
{I0U8-S9EL35VR-6836QSLU},01-02-2010 10:40,ASF1622,PC-6097,,Disconnect
{I6U6-S8AE89AP-9839YDUH},01-02-2010 10:42,ORL3995,PC-6988,,Disconnect
{F1S4-X4OM14JU-9369DXPO},01-02-2010 10:42,DTR1323,PC-4277,,Disconnect
{S4D3-J8OH81HX-9995GEDR},01-02-2010 10:42,DTR3804,PC-1960,R:\;R:\DTR3804,Connect
{L0M8-V5QH18QB-2202PJKL},01-02-2010 10:45,QJL0818,PC-0337,R:\;R:\946SVp8;R:\QJL0818,Connect
{Z7C7-M8MF35YN-0851PRUF},01-02-2010 10:45,JCL2626,PC-9929,,Disconnect
{X4S6-U6LM18MN-0048HOEC},01-02-2010 10:46,ASF1622,PC-6097,R:\;R:\33ksT61;R:\86H84t6;R:\91QG2n2;R:\95Fc8F2;R:\ASF1622,Connect
{V1Z4-X6GD16XQ-9214AFPW},01-02-2010 10:46,QJL0818,PC-0337,,Disconnect
{M8X2-M5NN39AH-4275DHSF},01-02-2010 10:47,PWE1562,PC-5650,,Disconnect
